Data;IGP-M% mês;IPA-M% mês;IPC-M% mês;INCC-M% mês;IGP-M% 12 m;IPA-M% 12 m;IPC-M% 12 m;INCC-M% 12 m
01/06/1989;0.196800;0.165500;0.246500;0.235900;0.000000;0.000000;0.000000;0.000000
01/07/1989;0.359100;0.402900;0.294000;0.307900;0.000000;0.000000;0.000000;0.000000
01/08/1989;0.369200;0.376100;0.325100;0.458700;0.000000;0.000000;0.000000;0.000000
01/09/1989;0.399200;0.428500;0.344300;0.380400;0.000000;0.000000;0.000000;0.000000
01/10/1989;0.406400;0.420700;0.381900;0.385900;0.000000;0.000000;0.000000;0.000000
01/11/1989;0.404800;0.395100;0.420100;0.423500;0.000000;0.000000;0.000000;0.000000
01/12/1989;0.471300;0.463600;0.497500;0.448400;0.000000;0.000000;0.000000;0.000000
01/01/1990;0.614600;0.626300;0.624600;0.517000;0.000000;0.000000;0.000000;0.000000
01/02/1990;0.812900;0.859800;0.747100;0.702000;0.000000;0.000000;0.000000;0.000000
01/03/1990;0.839400;0.858300;0.833300;0.724700;0.000000;0.000000;0.000000;0.000000
01/04/1990;0.283500;0.244900;0.344700;0.382000;0.000000;0.000000;0.000000;0.000000
01/05/1990;0.059300;0.050500;0.094100;0.011000;65.302000;67.540900;63.641800;56.871100
01/06/1990;0.099400;0.095000;0.125000;0.044300;59.904200;63.396500;57.341200;47.900200
01/07/1990;0.120100;0.103700;0.156200;0.112100;49.196600;49.662500;51.127800;40.579100
01/08/1990;0.136200;0.135800;0.136200;0.139400;40.655800;40.813400;43.698300;31.478500
01/09/1990;0.128000;0.128700;0.127800;0.123900;32.583100;32.037900;36.499100;25.442900
01/10/1990;0.129700;0.129500;0.133900;0.115200;25.976500;25.266100;29.768700;20.277800
01/11/1990;0.168600;0.177500;0.163500;0.121400;21.440200;21.168400;24.209500;15.762800
01/12/1990;0.180000;0.179600;0.190500;0.141500;16.997000;16.866800;19.041700;12.210800
01/01/1991;0.177000;0.174600;0.186700;0.156700;12.119400;11.903900;13.640200;9.073200
01/02/1991;0.210200;0.202300;0.233800;0.175400;7.757900;7.341800;9.338900;5.956500
01/03/1991;0.091900;0.084000;0.099700;0.123500;4.198500;3.865900;5.201600;3.531300
01/04/1991;0.078100;0.075400;0.081500;0.085100;3.366500;3.203500;3.987600;2.557600
01/05/1991;0.074800;0.075800;0.073500;0.072500;3.430500;3.304500;3.893700;2.774000
01/06/1991;0.084800;0.072700;0.096200;0.133600;3.371800;3.216600;3.768500;3.096500
01/07/1991;0.132200;0.139900;0.121700;0.117400;3.419000;3.354900;3.626100;3.116200
01/08/1991;0.152500;0.156200;0.148300;0.141500;3.482500;3.433100;3.675500;3.123700
01/09/1991;0.149300;0.144700;0.161000;0.135300;3.566800;3.496200;3.813300;3.165400
01/10/1991;0.226300;0.236800;0.206000;0.230700;3.957500;3.923200;4.119200;3.596700
